winningmargin,homescore,awayscore,hometeam,awayteam,attendance
38,100,62,13,12,37403
99,137,38,1,8,40965
-36,71,107,2,3,40532
-18,82,100,6,14,43298
27,107,80,17,1,36086
-14,68,82,8,12,47526
30,99,69,15,5,31054
-92,49,141,13,7,6109
11,91,80,16,4,21759
-8,71,79,1,5,37342
-43,71,114,14,10,31280
6,85,79,17,9,11568
-9,65,74,8,18,43276
3,51,48,12,16,17992
30,112,82,11,15,44714
-26,70,96,4,3,88510
38,89,51,6,13,84659
20,126,106,10,12,27445
67,149,82,14,7,21796
-48,49,97,5,17,92311
-42,67,109,1,11,41535
-1,118,119,18,6,38311
22,73,51,9,2,8914
63,138,75,3,15,75218
-79,73,152,2,10,32862
-27,75,102,9,11,19751
3,70,67,13,18,28774
30,122,92,4,8,40840
20,85,65,7,16,40637
5,86,81,10,13,29617
-17,60,77,18,14,27005
-1,98,99,11,7,35477
11,101,90,16,6,23029
16,94,78,1,9,29802
45,105,60,15,4,54698
-2,60,62,12,2,18052
-61,70,131,5,3,58298
-61,33,94,8,17,49454
-12,80,92,6,4,81711
48,102,54,2,14,31590
4,87,83,18,16,17781
51,110,59,15,17,33188
12,116,104,9,3,11730
51,105,54,7,5,42690
54,112,58,13,8,32000
2,84,82,12,11,30267
11,97,86,10,1,30183
-20,71,91,6,15,73435
13,87,74,17,7,11146
79,138,59,11,18,34663
14,100,86,14,3,45387
32,71,39,1,12,34549
17,84,67,13,4,52866
14,96,82,16,2,14526
-24,84,108,5,9,19040
-13,93,106,8,10,41489
-2,113,115,4,1,36020
72,113,41,12,8,18251
39,89,50,9,16,8013
66,133,67,17,6,74171
41,116,75,2,5,27704
-47,48,95,15,14,27967
2,79,77,10,11,33924
50,116,66,7,13,42215
19,107,88,3,18,40014
-14,65,79,3,2,40500
-40,66,106,18,15,10045
53,108,55,12,4,39761
-28,65,93,16,10,21043
-2,83,85,13,9,16246
35,110,75,7,8,56536
26,93,67,6,5,58342
-39,48,87,11,14,36028
-66,58,124,1,17,41823
51,110,59,14,13,33000
10,97,87,8,16,38671
13,90,77,18,5,35861
5,90,85,15,1,28939
112,148,36,2,11,37501
3,84,81,6,3,86879
2,84,82,9,17,13268
1,90,89,4,7,34381
-85,39,124,12,10,23053
3,89,86,11,6,37854
-5,97,102,18,8,6619
-18,64,82,10,9,31364
-11,62,73,7,15,50600
-1,86,87,4,16,29401
-2,51,53,13,2,17867
-74,38,112,3,17,84773
-48,51,99,5,12,21375
39,111,72,1,14,39177
-39,59,98,4,11,33830
9,101,92,9,7,10801
-54,63,117,16,13,13026
1,79,78,6,10,61218
22,80,58,2,1,52459
18,107,89,12,15,31945
96,138,42,14,18,33182
63,131,68,17,5,58231
-65,34,99,8,3,48455
-46,57,103,13,6,53957
124,170,46,17,18,11392
93,168,75,15,8,32545
-28,66,94,5,16,34557
20,87,67,10,4,31663
31,121,90,11,1,36491
37,98,61,14,9,10224
-2,74,76,3,12,43843
-20,67,87,7,2,45322
